CustomerID,Name,Address,Occupation,Gender,Age,MaritalStatus,CreditScore,PolicyHistory,CustomerSegment,PreferredCommunication,RiskTolerance,PropertyTypeID,PropertyType,AgeOfProperty,ConstructionMaterial,PropertySize,LocationID,City,Region,Postcode,ClaimID,PolicyID,DateID,ClaimAmount,ClaimType,ResolutionTime,ThresholdID,TotalClaimsThreshold,PropertyTypeThreshold,RegionThreshold
53,Wesley Wilson,"6457 Brandon Grove Suite 838, Barrettfurt, IL 48469",Doctor,Male,20,Married,474,6,High Networth,Mail,Medium,3,Detach,45,Steel,Medium,10,London,West,95780,53,211,451,17572.342060064973,Life,3,53,83,65,36
54,Stephanie Garcia,"1914 April Harbor Suite 894, Gregorytown, IN 43528",Lawyer,Other,62,Married,784,3,Individual,In Person,Low,2,Flat,8,Brick,Medium,3,Glasgow,North,24542,54,719,997,27144.64912366747,Home,27,54,31,30,28
55,William Miller,"4063 Jennifer Prairie, New Julianport, AS 16481",Engineer,Female,41,Divorced,761,7,High Networth,Telephone,Medium,3,Single,46,Brick,Small,3,Birmingham,West,13915,55,735,890,5415.548884193293,Health,15,55,86,4,5
56,Ann Riley,"223 Hall Corner Apt. 030, Lake Margaretstad, MH 48468",Engineer,Male,52,Married,652,6,High Networth,In Person,Low,3,Single,15,Concrete,Small,10,Edinburgh,Central,89332,56,543,504,18442.955560720766,Auto,12,56,18,87,42
57,James Phillips,"142 Amanda Expressway, Marthamouth, WI 75907",Lawyer,Female,19,Widowed,324,6,Business,Mail,Low,2,Terrace,4,Wood,Small,10,London,East,39668,57,611,366,25201.472041872847,Life,1,57,98,99,56
58,Charles Mckee,"5918 Gonzales Grove Apt. 630, West Robertside, AR 34278",Doctor,Other,44,Single,456,10,Family,Telephone,Medium,1,Detach,16,Steel,Medium,4,London,South,11581,58,300,648,28194.647909360378,Travel,23,58,34,20,8
59,Claudia Johns,"22101 Tamara Flat, South Timothyshire, WI 76272",Artist,Female,23,Divorced,602,5,Business,Telephone,Low,3,Single,20,Wood,Large,8,Manchester,West,57877,59,291,918,10012.772362772543,Auto,26,59,32,86,79
60,Kathleen Jimenez DVM,"302 Tara Course, Collinsport, CA 99181",Doctor,Other,23,Married,821,1,Family,Telephone,High,1,Flat,18,Brick,Large,6,Liverpool,South,86904,60,722,93,12019.644891182963,Home,3,60,85,56,43
61,Catherine Blair,"Unit 0751 Box 2506, DPO AA 53170",Engineer,Female,41,Widowed,766,4,Family,In Person,Medium,1,Terrace,30,Brick,Medium,8,Edinburgh,West,50738,61,845,856,31694.891570685882,Travel,16,61,31,20,38
62,Shannon Williams,"Unit 1948 Box 2751, DPO AA 25239",Lawyer,Male,41,Widowed,336,6,High Networth,Telephone,High,1,Terrace,39,Brick,Medium,1,Sheffield,Central,77606,62,947,448,20120.490869626225,Travel,28,62,22,43,99
63,Jessica Johnson MD,"8004 Jose Skyway, New Tonyaview, GU 07946",Engineer,Female,67,Married,451,5,Individual,Mail,High,2,Flat,30,Wood,Medium,10,Leeds,East,61486,63,411,389,9330.766100478148,Home,6,63,71,25,58
64,Brian Miller,"533 Kevin Course, South Jason, NY 13061",Doctor,Male,30,Married,489,8,Family,Telephone,Low,1,Detach,20,Wood,Small,1,Manchester,East,71248,64,463,444,15347.786767758787,Life,13,64,24,22,64
65,Daniel Stokes,"USS Stokes, FPO AE 53033",Artist,Male,50,Married,805,3,Business,Telephone,Medium,2,Single,17,Steel,Medium,3,Manchester,East,29854,65,984,1091,39740.76203551184,Life,10,65,31,63,50
66,Rebecca Diaz,"7247 Lee Islands Suite 697, East Laura, GA 18635",Doctor,Other,53,Single,644,6,Individual,Mail,High,2,Flat,23,Steel,Medium,6,Manchester,Central,83331,66,604,889,38784.869276445665,Travel,9,66,14,31,4
67,Robert Lawrence,"363 Tyler Terrace Apt. 995, Benjaminmouth, MH 73109",Engineer,Other,69,Widowed,395,1,Business,Telephone,Low,3,Terrace,26,Brick,Small,9,Birmingham,East,50223,67,862,567,41871.96527605835,Health,22,67,37,75,42
68,Stephanie Butler,"14063 Lopez Park, Collinsberg, DC 52337",Lawyer,Other,42,Divorced,711,7,High Networth,Telephone,High,1,Flat,28,Brick,Medium,6,London,South,66350,68,847,123,29294.931137590473,Auto,28,68,97,19,59
69,Paige Jackson,"46190 Gomez Terrace, West Michael, WA 94934",Doctor,Female,63,Divorced,792,10,Individual,Mail,Low,3,Detach,11,Steel,Medium,5,Manchester,East,87011,69,328,902,46753.512896514214,Life,16,69,45,35,80
70,Cindy Henderson,"91499 Alexander Locks, Port Keithmouth, OH 44769",Teacher,Male,39,Widowed,614,5,High Networth,Mail,High,1,Single,10,Brick,Large,10,Sheffield,North,45736,70,858,764,33278.86625219482,Travel,20,70,57,49,66
71,Mark Whitaker,"120 Michael Street, Manningtown, DC 87441",Engineer,Male,42,Divorced,660,1,High Networth,Mail,High,1,Flat,28,Concrete,Medium,8,Glasgow,Central,40700,71,873,62,3464.473336623215,Travel,22,71,55,99,74
72,Jacqueline Davidson,"82431 Timothy Plains, Mckeeland, CT 72353",Engineer,Other,60,Married,458,7,Business,Telephone,Low,3,Terrace,47,Brick,Medium,3,Liverpool,East,24674,72,716,921,48906.64351320683,Life,15,72,42,22,22
73,Ashley Anderson,"02598 Suzanne Loaf, Crystalfurt, KS 65905",Artist,Male,41,Divorced,379,6,Business,Telephone,High,3,Single,48,Steel,Small,10,Manchester,East,27707,73,922,278,2208.6184061099957,Home,2,73,13,52,8
74,Larry Robinson,"13982 Alexander Lake Suite 209, Port Matthewshire, MS 23450",Teacher,Male,44,Single,806,6,Business,Telephone,High,3,Flat,41,Wood,Large,6,Liverpool,West,22249,74,130,760,1358.3256682911278,Life,16,74,47,77,98
75,Nicole Daniels,"Unit 8810 Box 7660, DPO AA 01831",Artist,Female,41,Single,467,10,High Networth,Email,High,3,Terrace,23,Wood,Large,5,Bradford,East,42248,75,276,167,35271.62086528413,Travel,19,75,25,47,67
76,Kim Smith,"238 Andrews Groves Suite 244, South Josephview, OH 78569",Engineer,Female,52,Single,351,8,Business,Telephone,High,1,Detach,17,Brick,Medium,1,Birmingham,East,99559,76,382,258,35452.827155377294,Auto,16,76,92,30,97
77,Keith Green,"7081 Newton Ridges, East Heidi, IL 39515",Artist,Female,57,Widowed,457,8,Individual,Telephone,High,4,Detach,35,Wood,Small,8,Manchester,North,34891,77,345,620,7383.1290565362215,Home,8,77,42,93,41
78,Anthony Jordan,"04611 Sydney Dale, Lake Rebecca, OR 89164",Engineer,Female,37,Married,680,8,High Networth,Email,High,4,Single,3,Concrete,Small,1,London,North,12435,78,152,526,4866.168686255951,Life,17,78,65,53,89
79,Christopher Johnson,"96905 Griffith Ways, Susantown, AK 21715",Engineer,Female,56,Widowed,300,3,Family,Mail,Low,2,Terrace,8,Concrete,Large,9,Edinburgh,East,34834,79,444,335,20038.71689147994,Health,5,79,67,100,89
80,Elizabeth Carroll,"236 Ryan Lane, South Ericville, ND 99357",Doctor,Female,20,Single,685,2,Family,Mail,High,2,Flat,38,Steel,Medium,1,Glasgow,North,88718,80,286,924,5930.756229008388,Home,25,80,2,15,2
81,Cynthia Jenkins,"8474 Renee Cliff Suite 412, New Williamton, SC 71772",Engineer,Other,60,Divorced,658,3,Individual,Mail,Low,1,Single,24,Concrete,Large,9,Edinburgh,Central,82610,81,317,568,37487.65059675489,Health,13,81,37,73,39
82,Steven White,"6206 Kevin Mews, Garciaside, HI 06393",Lawyer,Other,60,Widowed,458,7,High Networth,Email,Medium,1,Flat,45,Wood,Medium,7,Bradford,South,74611,82,288,892,21801.56414992221,Auto,17,82,70,18,77
83,William Duke,"6247 Andrew Groves, Lake Jessicaborough, HI 91034",Lawyer,Other,70,Widowed,691,9,Family,Mail,Medium,3,Detach,6,Steel,Medium,3,Bradford,South,65681,83,451,901,39276.95209921046,Life,23,83,66,98,38
84,Michael Morris,"1057 Miller Islands, West Jane, OH 85617",Teacher,Male,37,Married,654,5,High Networth,In Person,High,2,Single,8,Wood,Small,2,Glasgow,West,36793,84,282,487,40076.98410839116,Auto,28,84,25,21,58
85,George Washington,"9387 Cameron Burg, Michaelton, FM 86085",Engineer,Female,39,Divorced,585,1,Family,In Person,Medium,1,Single,17,Brick,Small,1,Sheffield,Central,11177,85,706,327,1951.0375565543852,Health,20,85,2,83,34
86,Amy Pham,"212 Chaney Road Apt. 356, Port Christophertown, NY 46490",Doctor,Female,70,Widowed,398,4,Business,In Person,Medium,2,Detach,41,Wood,Small,9,Sheffield,South,03161,86,723,645,43488.65510091018,Auto,7,86,90,88,13
87,Monica Campos,"607 Charles Stravenue, Seanfurt, OR 56079",Doctor,Male,25,Single,472,8,Business,Mail,Medium,4,Detach,41,Brick,Small,2,Liverpool,West,84567,87,994,35,1056.9951294776436,Travel,4,87,8,41,73
88,Courtney Thompson,"442 Brady Key, Danielleport, MI 69270",Doctor,Other,19,Single,355,7,Individual,Email,Medium,4,Terrace,11,Concrete,Medium,10,Birmingham,Central,44709,88,156,958,25902.756764144993,Home,9,88,1,13,3
89,Rebecca Day,"604 Blanchard Passage, New Haroldshire, NM 02272",Lawyer,Female,60,Single,659,1,Family,Email,Low,3,Single,4,Steel,Large,1,Edinburgh,East,15361,89,301,1041,31928.587681146637,Travel,3,89,32,48,25
90,Tara Jensen,"9936 Gordon Oval, East Joseph, NH 21824",Artist,Female,23,Married,825,8,Family,In Person,Medium,2,Single,15,Concrete,Medium,6,Bradford,North,15476,90,294,885,49231.3795187058,Auto,4,90,47,76,49
91,Sheena Jackson,"196 Meyer Park, Connieport, AS 36115",Artist,Female,58,Divorced,611,10,High Networth,In Person,High,1,Detach,22,Steel,Medium,4,Glasgow,North,87425,91,867,887,9604.218441738652,Home,4,91,55,35,4
92,Sharon Moore,"1324 Lopez Mountains, West Mariahaven, KS 67561",Doctor,Other,31,Widowed,537,10,Family,Email,High,3,Detach,46,Steel,Medium,2,Birmingham,Central,67224,92,922,878,1520.299134953822,Home,16,92,62,73,97
93,Kathleen Johnson,"133 Brown Turnpike, Loganchester, WY 11051",Engineer,Female,34,Single,626,4,High Networth,In Person,High,1,Single,32,Steel,Medium,3,London,West,18754,93,782,1054,28338.514703704677,Health,24,93,20,70,100
94,James Allen,"PSC 4165, Box 9492, APO AA 02179",Lawyer,Other,27,Widowed,648,1,High Networth,Telephone,Low,2,Single,24,Wood,Large,4,Bradford,West,63746,94,260,653,11750.383381365082,Health,16,94,15,71,27
95,Michael Howard,"37938 Jasmine Plain Apt. 778, East Jonathanfort, ID 74342",Doctor,Male,55,Divorced,502,1,Family,Email,Medium,3,Detach,12,Brick,Small,10,Leeds,North,28257,95,446,163,48112.33892467964,Life,23,95,12,70,94
96,Nicholas Rodriguez,"332 Blanchard Dale Suite 389, Jonesborough, MT 31732",Teacher,Male,59,Widowed,793,3,Family,Email,Low,1,Flat,1,Wood,Small,1,Manchester,South,94153,96,640,206,5518.825764513713,Home,5,96,5,30,52
97,Wesley Mills,"769 Hebert Grove, Toddbury, ME 19419",Engineer,Other,43,Married,495,4,Business,Mail,High,4,Terrace,11,Steel,Large,1,Liverpool,South,40134,97,910,1029,3485.620772840467,Health,20,97,32,89,37
98,Andrew Richardson,"1274 Rivas Courts Apt. 737, Jameston, WY 48538",Teacher,Female,56,Widowed,302,10,High Networth,Email,Low,2,Terrace,37,Brick,Medium,10,Edinburgh,North,93884,98,377,550,42930.09368303423,Auto,1,98,64,74,11
99,Amber Black,"PSC 5057, Box 9470, APO AA 34157",Artist,Female,55,Single,520,6,Family,Email,Low,4,Single,43,Concrete,Medium,10,Manchester,West,40155,99,642,70,16745.253115812637,Auto,4,99,39,36,29
100,Dakota Mckinney,"394 Shannon Knoll Suite 744, Port Aliciaville, NC 42516",Engineer,Male,24,Married,739,8,High Networth,Mail,Low,2,Terrace,4,Steel,Medium,4,Sheffield,South,15042,100,462,602,34273.57969151399,Home,24,100,32,55,48
101,Kyle Johnson,"725 Jose Bridge Suite 740, East Theodoreview, MN 66231",Doctor,Female,40,Divorced,845,5,High Networth,Telephone,High,2,Flat,20,Brick,Medium,10,London,East,04751,101,899,1057,17040.33134041566,Travel,13,101,15,65,79
102,Kimberly Brown,"1432 Clifford Spring Apt. 224, Stevenstad, WV 54352",Teacher,Female,38,Divorced,560,8,Family,Telephone,High,1,Terrace,28,Concrete,Small,8,Manchester,South,93144,102,405,370,19215.29469945866,Travel,28,102,11,9,42
103,Laurie Taylor,"204 Ingram Dam, West Brandon, CT 92466",Engineer,Female,25,Widowed,844,10,Family,Telephone,Low,1,Flat,8,Concrete,Medium,7,Liverpool,East,18081,103,314,67,5017.4128140008925,Life,25,103,63,8,43
104,James Woodward,"88728 John Brook Apt. 626, Baileyburgh, AR 29526",Teacher,Female,65,Married,405,5,Family,Email,Low,4,Flat,29,Concrete,Large,9,Birmingham,East,42974,104,886,563,897.2282848160066,Home,24,104,69,29,17
105,Nicholas Chan,"49447 Fuller Road Apt. 968, North Haley, OK 02340",Teacher,Male,19,Married,638,5,High Networth,Email,High,3,Single,39,Steel,Large,7,Liverpool,West,93437,105,403,286,20840.26725466676,Home,23,105,27,16,26
106,Robert Brown,"17147 Jasmine Trace Apt. 293, East Allisonside, MI 19206",Doctor,Female,44,Single,387,3,Business,Mail,Low,3,Terrace,46,Wood,Medium,2,Bradford,South,63090,106,864,960,23624.67266800174,Home,20,106,9,52,16
107,Travis Molina,"008 Wendy Glens, Brandiberg, WV 57302",Lawyer,Other,32,Divorced,727,2,Business,Mail,Medium,3,Flat,41,Brick,Small,8,Manchester,East,64258,107,845,307,48884.10427754699,Health,11,107,61,3,35
108,Megan Davis,"PSC 0238, Box 2652, APO AA 98593",Lawyer,Female,52,Single,773,2,Individual,Telephone,Low,2,Flat,27,Brick,Large,2,Liverpool,East,98659,108,928,1036,5679.64530279784,Health,15,108,33,29,14
109,Donald Smith,"93080 Joseph Loop, Martinezshire, SD 23310",Doctor,Male,65,Single,770,3,Individual,In Person,Medium,2,Detach,43,Steel,Medium,4,London,West,87506,109,917,603,49891.01358870115,Auto,27,109,55,84,33
110,Matthew Wagner,"USNV Proctor, FPO AP 55073",Lawyer,Other,39,Widowed,323,10,High Networth,Mail,Medium,3,Detach,7,Wood,Medium,10,Bradford,North,52384,110,778,535,37896.03318658536,Travel,30,110,24,30,36
111,Robert Alvarado,"USCGC Cameron, FPO AE 87991",Doctor,Other,53,Single,361,10,Business,In Person,Low,2,Single,44,Wood,Small,5,Birmingham,South,57490,111,222,457,45118.414732654775,Home,23,111,72,54,69
112,Dana Schmidt,"28195 Payne Flats Suite 618, Thomasport, ND 93904",Lawyer,Other,55,Widowed,523,3,Individual,In Person,Low,2,Detach,32,Wood,Large,6,Manchester,Central,41720,112,720,502,15460.718150303106,Home,5,112,95,66,6
